Date,Open,Close,NominalReturn
1977/07,99.29,100.2,0.013403257
1977/08,100.2,97.75,-0.018591368
1977/09,97.75,96.23,-0.009594593
1977/10,96.23,93.74,-0.019929685
1977/11,93.74,94.28,0.010405297
1977/12,94.28,93.82,0.001450186
1978/01,93.82,90.25,-0.034521484
1978/02,90.25,88.98,-0.010771198
1978/03,88.98,88.82,9.42E-05
1978/04,88.82,92.71,0.045393102
1978/05,92.71,97.41,0.050888363
1978/06,97.41,97.66,0.001935524
1978/07,97.66,97.19,-0.001992876
1978/08,97.19,103.9,0.074746306
1978/09,103.9,103.9,0.003148736
1978/10,103.9,100.6,-0.029263322
1978/11,100.6,94.71,-0.051452827
1978/12,94.71,96.11,0.021947328
1979/01,96.11,99.71,0.040160562
1979/02,99.71,98.23,-0.014123983
1979/03,98.23,100.1,0.021230939
1979/04,100.1,102.1,0.021084385
1979/05,102.1,99.73,-0.022618781
1979/06,99.73,101.7,0.021533358
1979/07,101.7,102.7,0.012088765
1979/08,102.7,107.4,0.049580311
1979/09,107.4,108.6,0.014183182
1979/10,108.6,104.5,-0.03165837
1979/11,104.5,103.7,-0.002433622
1979/12,103.7,107.8,0.043643056
1980/01,107.8,110.9,0.029467301
1980/02,110.9,115.3,0.040554523
1980/03,115.3,104.7,-0.089872719
1980/04,104.7,103,-0.01104836
1980/05,103,107.7,0.051404389
1980/06,107.7,114.6,0.068295578
1980/07,114.6,119.8,0.060061749
1980/08,119.8,123.5,0.037763348
1980/09,123.5,126.5,0.029756176
1980/10,126.5,130.2,0.033581965
1980/11,130.2,135.7,0.047575442
1980/12,135.7,133.5,-0.011708376
1981/01,133.5,133,0.001435262
1981/02,133,128.4,-0.03155932
1981/03,128.4,133.2,0.04274343
1981/04,133.2,134.4,0.014113735
1981/05,134.4,131.7,-0.016013225
1981/06,131.7,132.3,0.007324996
1981/07,132.3,129.1,-0.022278413
1981/08,129.1,129.6,0.008994863
1981/09,129.6,118.3,-0.083155607
1981/10,118.3,119.8,0.023202069
1981/11,119.8,122.9,0.03482458
1981/12,122.9,123.8,0.015736865
1982/01,123.8,117.3,-0.044312552
1982/02,117.3,114.5,-0.016088021
1982/03,114.5,110.8,-0.020912991
1982/04,110.8,116.3,0.055539314
1982/05,116.3,116.4,0.001674041
1982/06,116.4,109.7,-0.058699801
1982/07,109.7,109.4,0.002523144
1982/08,109.4,109.7,0.010635935
1982/09,109.7,122.4,0.122792148
1982/10,122.4,132.7,0.089677181
1982/11,132.7,138.1,0.050882114
1982/12,138.1,139.4,0.020849748
1983/01,139.4,144.3,0.040181779
1983/02,144.3,146.8,0.023126142
1983/03,146.8,151.9,0.041613617
1983/04,151.9,157.7,0.037774334
1983/05,157.7,164.1,0.040839907
1983/06,164.1,166.4,0.016594963
1983/07,166.4,167,0.005087445
1983/08,167,162.4,-0.024876076
1983/09,162.4,167.2,0.030371471
1983/10,167.2,167.7,0.005850237
1983/11,167.7,165.2,-0.010671886
1983/12,165.2,164.4,0.000853496
1984/01,164.4,166.4,0.013221669
1984/02,166.4,157.3,-0.051988004
1984/03,157.3,157.4,0.006396788
1984/04,157.4,157.6,0.003946509
1984/05,157.6,156.6,-0.001935354
1984/06,156.6,153.1,-0.017848225
1984/07,153.1,151.1,-0.009441626
1984/08,151.1,164.4,0.09140597
1984/09,164.4,166.1,0.012743173
1984/10,166.1,164.8,-0.00345581
1984/11,164.8,166.3,0.016199342
1984/12,166.3,164.5,-0.003818047
1985/01,164.5,171.6,0.047910245
1985/02,171.6,180.9,0.055788099
1985/03,180.9,179.4,-0.005469479
1985/04,179.4,180.6,0.008555009
1985/05,180.6,184.9,0.026628825
1985/06,184.9,188.9,0.025344823
1985/07,188.9,192.5,0.023504617
1985/08,192.5,188.3,-0.017507259
1985/09,188.3,184.1,-0.018971039
1985/10,184.1,186.2,0.01388148
1985/11,186.2,197.5,0.064167094
1985/12,197.5,207.3,0.05317525
1986/01,207.3,208.2,0.007957773
1986/02,208.2,219.4,0.062447672
1986/03,219.4,232.3,0.068583239
1986/04,232.3,238,0.030631619
1986/05,238,238.5,0.00339345
1986/06,238.5,245.3,0.027150254
1986/07,245.3,240.2,-0.016719658
1986/08,240.2,245,0.022261168
1986/09,245,238.3,-0.027523084
1986/10,238.3,237.4,-0.000580287
1986/11,237.4,245.1,0.035461628
1986/12,245.1,248.6,0.017084956
1987/01,248.6,264.5,0.061233801
1987/02,264.5,280.9,0.062546113
1987/03,280.9,292.5,0.041607596
1987/04,292.5,289.3,-0.010732433
1987/05,289.3,289.1,0.001361233
1987/06,289.1,301.4,0.044313235
1987/07,301.4,310.1,0.031730318
1987/08,310.1,329.4,0.062471428
1987/09,329.4,318.7,-0.03179254
1987/10,318.7,280.2,-0.117118005
1987/11,280.2,245,-0.120081215
1987/12,245,241,-0.009707651
1988/01,241,250.5,0.043089821
1988/02,250.5,258.1,0.03385647
1988/03,258.1,265.7,0.031118514
1988/04,265.7,262.6,-0.01071288
1988/05,262.6,256.1,-0.021997353
1988/06,256.1,270.7,0.058766191
1988/07,270.7,269.1,-0.00387393
1988/08,269.1,263.7,-0.018000086
1988/09,263.7,268,0.015902709
1988/10,268,277.4,0.038064085
1988/11,277.4,271,-0.017518556
1988/12,271,276.5,0.02520523
1989/01,276.5,285.4,0.033825523
1989/02,285.4,294,0.032711853
1989/03,294,292.7,-0.003242007
1989/04,292.7,302.3,0.03311198
1989/05,302.3,313.9,0.039657174
1989/06,313.9,323.7,0.035682691
1989/07,323.7,331.9,0.029593645
1989/08,331.9,346.6,0.049097476
1989/09,346.6,347.3,0.004931838
1989/10,347.3,347.4,0.001756558
1989/11,347.4,340.2,-0.016646033
1989/12,340.2,348.6,0.029563679
1990/01,348.6,339.97,-0.027836575
1990/02,339.97,330.45,-0.025535329
1990/03,330.45,338.46,0.02576763
1990/04,338.46,338.18,0.00427794
1990/05,338.18,350.25,0.039690706
1990/06,350.25,360.39,0.029978929
1990/07,360.39,360.03,0.001804823
1990/08,360.03,330.75,-0.082435742
1990/09,330.75,315.41,-0.046334605
1990/10,315.41,307.12,-0.02388982
1990/11,307.12,315.29,0.032636937
1990/12,315.29,328.75,0.050837787
1991/01,328.75,325.49,-0.0081585
1991/02,325.49,362.26,0.118736361
1991/03,362.26,372.28,0.032909355
1991/04,372.28,379.68,0.025064489
1991/05,379.68,377.99,-0.000694065
1991/06,377.99,378.29,0.00435241
1991/07,378.29,380.23,0.009967556
1991/08,380.23,389.4,0.026904441
1991/09,389.4,387.2,-0.004598776
1991/10,387.2,386.88,0.00275493
1991/11,386.88,385.92,-0.000293194
1991/12,385.92,388.51,0.011132078
1992/01,388.51,416.08,0.07417555
1992/02,416.08,412.56,-0.007266963
1992/03,412.56,407.36,-0.012473651
1992/04,407.36,407.41,0.00381808
1992/05,407.41,414.81,0.021707662
1992/06,414.81,408.27,-0.014272353
1992/07,408.27,415.05,0.019543635
1992/08,415.05,417.93,0.009142384
1992/09,417.93,418.48,0.003403743
1992/10,418.48,412.5,-0.012677386
1992/11,412.5,422.84,0.028626172
1992/12,422.84,435.64,0.035826753
1993/01,435.64,435.23,-0.000806789
1993/02,435.23,441.7,0.016360721
1993/03,441.7,450.16,0.020487722
1993/04,450.16,443.08,-0.013506276
1993/05,443.08,445.25,0.008498235
1993/06,445.25,448.06,0.009720085
1993/07,448.06,447.29,0.002894287
1993/08,447.29,454.13,0.017091386
1993/09,454.13,459.24,0.0136681
1993/10,459.24,463.9,0.010517057
1993/11,463.9,462.89,0.001596268
1993/12,462.89,465.95,0.011137389
1994/01,465.95,472.99,0.016662882
1994/02,472.99,471.58,-0.002082481
1994/03,471.58,463.81,-0.015513422
1994/04,463.81,447.23,-0.032820837
1994/05,447.23,450.9,0.011792717
1994/06,450.9,454.83,0.009727287
1994/07,454.83,451.4,-0.005585099
1994/08,451.4,464.24,0.029060916
1994/09,464.24,466.96,0.007915609
1994/10,466.96,463.81,-0.002941494
1994/11,463.81,461.01,-0.002812727
1994/12,461.01,455.19,-0.008041602
1995/01,455.19,465.25,0.022731169
1995/02,465.25,481.92,0.036418017
1995/03,481.92,493.15,0.024540162
1995/04,493.15,507.91,0.031279571
1995/05,507.91,523.81,0.034068263
1995/06,523.81,539.35,0.032262087
1995/07,539.35,557.37,0.037760847
1995/08,557.37,559.11,0.004667637
1995/09,559.11,578.77,0.037251306
1995/10,578.77,582.92,0.008164466
1995/11,582.92,595.53,0.026405772
1995/12,595.53,614.57,0.036665849
1996/01,614.57,614.42,-0.001953474
1996/02,614.42,649.54,0.057822015
1996/03,649.54,647.07,-0.004785024
1996/04,647.07,647.17,0.000513761
1996/05,647.17,661.23,0.023972477
1996/06,661.23,668.5,0.014413362
1996/07,668.5,644.07,-0.034167494
1996/08,644.07,662.68,0.031175492
1996/09,662.68,674.88,0.019489261
1996/10,674.88,701.46,0.040376613
1996/11,701.46,735.67,0.051216214
1996/12,735.67,743.25,0.014718778
1997/01,743.25,766.22,0.031838289
1997/02,766.22,798.39,0.042841983
1997/03,798.39,792.16,-0.006442905
1997/04,792.16,763.93,-0.033198965
1997/05,763.93,833.09,0.094707823
1997/06,833.09,876.29,0.053951953
1997/07,876.29,925.29,0.057886083
1997/08,925.29,927.24,0.003446381
1997/09,927.24,937.02,0.011192226
1997/10,937.02,951.16,0.01566364
1997/11,951.16,938.92,-0.009392283
1997/12,938.92,962.37,0.02903151
1998/01,962.37,963.36,0.001814479
1998/02,963.36,1023.74,0.063247333
1998/03,1023.74,1076.83,0.052322815
1998/04,1076.83,1112.2,0.033344842
1998/05,1112.2,1108.42,-0.002655136
1998/06,1108.42,1108.39,0.001336554
1998/07,1108.39,1156.58,0.044792606
1998/08,1156.58,1074.62,-0.069506399
1998/09,1074.62,1020.64,-0.048910412
1998/10,1020.64,1032.47,0.011669512
1998/11,1032.47,1144.43,0.111026109
1998/12,1144.43,1190.05,0.043010865
1999/01,1190.05,1248.77,0.049307009
1999/02,1248.77,1246.58,-0.000548017
